Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Text Area 2,Text Area 3,Comments
1,Document,,,,,,,,,Pending review,Account Management,,,
2,Page,,,,,,,,,,Page 1,,,
3,Class,UML,2,,8,,,,,,User,"​+userID: int
+username: string
+password: string
+email: string","​+login(username: string, password: string): boolean
+logout(): void",
4,Class,UML,2,,8,,,,,,Admin,,"​+manageUsers(userList: List): void
+manageInventory(productList: List): void
+generateReports(reportType: string): void",
5,Class,UML,2,,8,,,,,,Customer,"​+approved: boolean
+accountBalance: float","​+viewProducts(): List
+addToCart(productID: string): void
+checkout(paymentDetails: Map): void",
6,Line,,2,,8,3,4,Generalization,None,,,,,
7,Line,,2,,8,3,5,Generalization,None,,,,,
8,Group 1,,2,,,,,,,,,,,
